classe,objeto,arquivo,data,hora,casa,fundo,dia,FileName,FileSize,Model,DateTimeOriginal,ImageSize,FocalLength,ShutterSpeed,Aperture,ISO
banana,bananaA,bananaA1.jpg,19/04/2021,23:00,1,azul,0,bananaA1.jpg,1739 kB,iPhone 8,2021:04:19 23:00:19,4032x3024,4.0 mm,1/15,1.8,40
banana,bananaA,bananaA10.jpg,19/04/2021,23:18,0,azul,0,bananaA10.jpg,1189 kB,iPhone 8,2021:04:19 23:18:56,4032x3024,4.0 mm,1/6,1.8,100
banana,bananaA,bananaA11.jpg,19/04/2021,23:18,0,azul,0,bananaA11.jpg,1513 kB,iPhone 8,2021:04:19 23:18:58,4032x3024,4.0 mm,1/6,1.8,100
banana,bananaA,bananaA12.jpg,19/04/2021,23:19,0,azul,0,bananaA12.jpg,1711 kB,iPhone 8,2021:04:19 23:19:01,4032x3024,4.0 mm,1/6,1.8,100
banana,bananaA,bananaA13.jpg,19/04/2021,23:24,0,branco,0,bananaA13.jpg,1180 kB,iPhone 8,2021:04:19 23:24:42,3024x4032,4.0 mm,1/16,1.8,100
banana,bananaA,bananaA14.jpg,19/04/2021,23:24,0,branco,0,bananaA14.jpg,1306 kB,iPhone 8,2021:04:19 23:24:43,3024x4032,4.0 mm,1/16,1.8,100
banana,bananaA,bananaA15.jpg,19/04/2021,23:24,0,branco,0,bananaA15.jpg,1045 kB,iPhone 8,2021:04:19 23:24:48,3024x4032,4.0 mm,1/16,1.8,100
banana,bananaA,bananaA16.jpg,19/04/2021,23:30,0,preto,0,bananaA16.jpg,1095 kB,iPhone 8,2021:04:19 23:30:21,4032x3024,4.0 mm,1/6,1.8,100
banana,bananaA,bananaA17.jpg,19/04/2021,23:30,0,preto,0,bananaA17.jpg,1184 kB,iPhone 8,2021:04:19 23:30:25,4032x3024,4.0 mm,1/6,1.8,100
banana,bananaA,bananaA18.jpg,19/04/2021,23:30,0,preto,0,bananaA18.jpg,1596 kB,iPhone 8,2021:04:19 23:30:28,4032x3024,4.0 mm,1/6,1.8,100
banana,bananaA,bananaA19.jpg,20/04/2021,09:53,1,azul,1,bananaA19.jpg,3.4 MB,iPhone 8,2021:04:20 09:53:20,4032x3024,4.0 mm,1/120,1.8,64
banana,bananaA,bananaA2.jpg,19/04/2021,23:00,1,azul,0,bananaA2.jpg,2.1 MB,iPhone 8,2021:04:19 23:00:55,4032x3024,4.0 mm,1/15,1.8,40
banana,bananaA,bananaA20.jpg,20/04/2021,09:53,1,azul,1,bananaA20.jpg,2.4 MB,iPhone 8,2021:04:20 09:53:27,4032x3024,4.0 mm,1/120,1.8,64
banana,bananaA,bananaA21.jpg,20/04/2021,09:53,1,azul,1,bananaA21.jpg,2.9 MB,iPhone 8,2021:04:20 09:53:38,4032x3024,4.0 mm,1/40,1.8,25
banana,bananaA,bananaA22.jpg,20/04/2021,09:58,1,branco,1,bananaA22.jpg,1741 kB,iPhone 8,2021:04:20 09:58:11,4032x3024,4.0 mm,1/120,1.8,25
banana,bananaA,bananaA23.jpg,20/04/2021,09:58,1,branco,1,bananaA23.jpg,1710 kB,iPhone 8,2021:04:20 09:58:15,4032x3024,4.0 mm,1/120,1.8,25
banana,bananaA,bananaA24.jpg,20/04/2021,09:58,1,branco,1,bananaA24.jpg,1925 kB,iPhone 8,2021:04:20 09:58:25,4032x3024,4.0 mm,1/120,1.8,25
banana,bananaA,bananaA25.jpg,20/04/2021,10:02,1,preto,1,bananaA25.jpg,2.4 MB,iPhone 8,2021:04:20 10:02:15,4032x3024,4.0 mm,1/30,1.8,32
banana,bananaA,bananaA26.jpg,20/04/2021,10:02,1,preto,1,bananaA26.jpg,2.2 MB,iPhone 8,2021:04:20 10:02:19,4032x3024,4.0 mm,1/30,1.8,32
banana,bananaA,bananaA27.jpg,20/04/2021,10:02,1,preto,1,bananaA27.jpg,2.7 MB,iPhone 8,2021:04:20 10:02:25,4032x3024,4.0 mm,1/30,1.8,40
banana,bananaA,bananaA28.jpg,20/04/2021,10:10,0,azul,1,bananaA28.jpg,2.7 MB,iPhone 8,2021:04:20 10:10:47,4032x3024,4.0 mm,1/120,1.8,20
